Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,Reward_Total,Reward_Queue,Reward_Throughput,Reward_Wait,Reward_Fairness
155,3,0,1.5,1,0,0,1.43,0.0,-0.7777508090614886,-0.3333333333333333,0.0,-0.06941747572815533,-0.375
156,4,0,2.0,0,0,1,2.0,0.0,-0.9165318230852211,-0.4444444444444444,0.125,-0.0970873786407767,-0.5
157,5,0,2.5,0,0,0,2.71,0.0,-1.312108953613808,-0.5555555555555556,0.0,-0.13155339805825242,-0.625
158,5,0,2.5,0,1,1,3.43,0.0,-1.2220604099244876,-0.5555555555555556,0.125,-0.16650485436893203,-0.625
159,5,0,2.5,0,0,0,4.14,0.0,-1.3815264293419633,-0.5555555555555556,0.0,-0.20097087378640774,-0.625
160,6,0,3.0,0,1,0,5.0,0.0,-1.6593851132686084,-0.6666666666666666,0.0,-0.24271844660194172,-0.75
161,6,0,3.0,0,1,1,5.86,0.0,-1.5761326860841423,-0.6666666666666666,0.125,-0.28446601941747574,-0.75
162,7,0,3.5,0,0,1,6.86,0.0,-1.8607874865156417,-0.7777777777777778,0.125,-0.33300970873786406,-0.875
163,6,1,2.5,0,0,0,6.83,0.25,-1.7464670981661272,-0.7777777777777778,0.0,-0.3436893203883495,-0.625
164,5,2,1.5,0,1,0,5.83,0.6,-1.464913700107875,-0.7777777777777778,0.0,-0.31213592233009707,-0.375
165,4,3,0.5,0,0,0,4.83,1.2,-1.1954962243797196,-0.7777777777777778,0.0,-0.29271844660194174,-0.125
166,3,3,0.0,0,0,0,4.4,1.8,-0.9676375404530744,-0.6666666666666666,0.0,-0.30097087378640774,-0.0
167,2,4,1.0,0,0,0,2.8,2.6,-1.1788025889967637,-0.6666666666666666,0.0,-0.2621359223300971,-0.25
168,1,4,1.5,0,0,0,1.75,3.4,-1.1805555555555556,-0.5555555555555556,0.0,-0.25,-0.375
169,0,5,2.5,0,0,0,0.0,4.4,-1.3941477885652644,-0.5555555555555556,0.0,-0.21359223300970875,-0.625
170,0,5,2.5,0,0,0,0.0,5.4,-1.4426914778856528,-0.5555555555555556,0.0,-0.2621359223300971,-0.625
171,0,5,2.5,0,0,1,0.0,6.4,-1.366235167206041,-0.5555555555555556,0.125,-0.3106796116504854,-0.625
172,0,5,2.5,0,0,1,0.0,7.4,-1.4147788565264294,-0.5555555555555556,0.125,-0.3592233009708738,-0.625
173,0,5,2.5,1,0,0,0.0,8.4,-1.5883225458468178,-0.5555555555555556,0.0,-0.4077669902912621,-0.625
174,0,5,2.5,0,0,1,0.0,9.4,-1.511866235167206,-0.5555555555555556,0.125,-0.45631067961165045,-0.625
